Ticker,Company,n_positions,avg_trade,total_pnl,worst_trade,best_trade,win_rate,avg_si
BGL,Bigair Group Limited,7,0.006029603443053636,0.0005263636334032623,-0.32280705511551755,0.21397380685554412,0.5714285714285714,4.3185714285714285
ELD,Elders Limited,4,0.007353271585764487,0.000482181743328819,-0.09118543696869752,0.09749315326847174,0.5,6.297499999999999
MHJ,Michael Hill Int,1,0.027397315080268658,0.00047236750138394235,0.027397315080268658,0.027397315080268658,1.0,0.0
M7T,Mach7 Tech Limited,15,0.0021190771047041737,0.00043061401527128874,-0.3529411234363047,0.20000001402462186,0.6666666666666666,0.10800000000000001
WEB,Webjet Limited,1,0.02544033484232222,0.00041705466954626596,0.02544033484232222,0.02544033484232222,1.0,4.49
AGL,Agl Energy Limited.,2,0.012682985994837304,0.0004164032354906812,0.001021448570079908,0.0243445234195947,1.0,2.545
MMS,Mcmillan Shakespeare,2,0.010374864826826202,0.00034015950251889193,-0.003357908828530931,0.024107638482183336,0.5,3.55
RWC,Reliance Worldwide,3,0.00600056755793658,0.0003070058237276503,-0.03278693266050836,0.03149604858080879,0.6666666666666666,2.8766666666666665
QAN,Qantas Airways,6,0.002437597453701368,0.0002460264395873885,-0.042435378752134545,0.04454547350790439,0.5,0.2783333333333333
APE,A.P. Eagers Limited,5,0.0009060098269797701,0.0001903143389646374,-0.07422135090435722,0.10547892233505807,0.4,2.754
OMH,Om Holdings Limited,3,0.0033422762726080433,0.00018921279706081125,-0.12500002670529886,0.09090910817312214,0.6666666666666666,0.01
HAS,Hastings Tech Met,1,0.009708728874782357,0.00017032857675056766,0.009708728874782357,0.009708728874782357,1.0,0.0
TUA,Tuas Limited,3,0.0020899803692439787,0.00016842644442859067,-0.0694086722947751,0.0782361556643335,0.3333333333333333,0.17333333333333334
VVA,Viva Leisure Limited,5,0.0010648992574393112,7.363085297078286e-05,-0.0633803071116823,0.12225708398387725,0.2,0.0
PPC,Peet Limited,2,0.0015203100053102214,3.960034943955074e-05,-0.03749992168847105,0.04054054169909149,0.5,0.0
NXT,Nextdc Limited,1,0.0,0.0,-0.0,-0.0,0.0,9.24
REG,Regis Healthcare Ltd,1,-0.004504603910299609,-7.384596574261655e-05,-0.004504603910299609,-0.004504603910299609,0.0,0.18
HUM,Humm Group Limited,1,-0.004878082336126521,-8.267936162926307e-05,-0.004878082336126521,-0.004878082336126521,0.0,1.81
CLV,Clover Corporation,14,-0.000545150764206486,-0.00015152744905287154,-0.2592592592592593,0.32926832258670624,0.5,0.01
BKY,Berkeley Resources,2,-0.0062374609166171435,-0.00020450691529892294,-0.12676061422336438,0.11428569239013009,0.5,0.16
ALD,Allied Gold Limited,1,-0.012133762542270388,-0.0002128730270573752,-0.012133762542270388,-0.012133762542270388,0.0,1.26
